state,district,market,commodity,variety,grade,arrival_date,min_x0020_price,max_x0020_price,modal_x0020_price
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,27/10/2025,1000.0,1900.0,1500.0
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,27/10/2025,3000.0,3500.0,3500.0
Andhra Pradesh,Chittor,Kalikiri,Tomato,Hybrid,FAQ,27/10/2025,2500.0,3600.0,3000.0
Andhra Pradesh,Chittor,Madanapalli,Tomato,Local,FAQ,27/10/2025,2800.0,3400.0,3200.0
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,27/10/2025,1100.0,2900.0,2100.0
Andhra Pradesh,Chittor,Palamaner,Tomato,Hybrid,FAQ,27/10/2025,3000.0,3500.0,3300.0
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,FAQ,27/10/2025,10900.0,11800.0,11661.0
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Guntur,FAQ,27/10/2025,10000.0,16200.0,15000.0
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red New,FAQ,27/10/2025,10000.0,15100.0,14900.0
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,FAQ,27/10/2025,9500.0,14800.0,13500.0
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,27/10/2025,10000.0,15000.0,14000.0
Andhra Pradesh,Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,27/10/2025,2200.0,2400.0,2300.0
Andhra Pradesh,Kurnool,Adoni,Castor Seed,Castor seed,FAQ,27/10/2025,5188.0,5923.0,5900.0
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,27/10/2025,4360.0,5930.0,5145.0
Bihar,Kishanganj,Bahadurganj,Onion,Medium,FAQ,27/10/2025,1500.0,1600.0,1550.0
Chattisgarh,Balod,Dondilohara,Paddy(Dhan)(Common),I.R.-64,Non-FAQ,27/10/2025,1740.0,1760.0,1750.0
Chattisgarh,Korba,Katghora,Paddy(Dhan)(Common),HMT,FAQ,27/10/2025,2320.0,2320.0,2320.0
Chattisgarh,Korba,Katghora,Paddy(Dhan)(Common),MTU-1010,Non-FAQ,27/10/2025,1900.0,1900.0,1900.0
Chattisgarh,Korba,Katghora,Wheat,Medium,FAQ,27/10/2025,3000.0,3300.0,3238.0
Chattisgarh,Koria,Manendragarh,Paddy(Dhan)(Common),MTU-1010,Non-FAQ,27/10/2025,1950.0,1950.0,1950.0
Goa,North Goa,Mapusa,Brinjal,Brinjal,FAQ,27/10/2025,2500.0,2500.0,2500.0
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Onion,Nasik,FAQ,27/10/2025,500.0,1700.0,1450.0
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Other,FAQ,27/10/2025,1600.0,2000.0,1900.0
Gujarat,Ahmedabad,Viramgam,Cummin Seed(Jeera),Other,FAQ,27/10/2025,16525.0,17555.0,17040.0
Gujarat,Ahmedabad,Viramgam,Paddy(Dhan)(Common),Other,Non-FAQ,27/10/2025,1250.0,1885.0,1570.0
Gujarat,Amreli,Amreli,Cotton,Other,FAQ,27/10/2025,5000.0,8005.0,7600.0
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,FAQ,27/10/2025,4500.0,4500.0,4500.0
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),Non-FAQ,27/10/2025,3350.0,5700.0,5045.0
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,27/10/2025,6500.0,11150.0,9255.0
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,FAQ,27/10/2025,3640.0,4275.0,4125.0
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,27/10/2025,2500.0,3200.0,2800.0
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,FAQ,27/10/2025,3500.0,5000.0,4500.0
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,27/10/2025,2300.0,4200.0,3500.0
Gujarat,Amreli,Rajula,Groundnut,Local,FAQ,27/10/2025,5380.0,5380.0,5380.0
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bottle gourd,Bottle Gourd,FAQ,27/10/2025,500.0,1000.0,700.0
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Ginger(Green),Green Ginger,FAQ,27/10/2025,2500.0,4000.0,3250.0
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,27/10/2025,1000.0,1500.0,1250.0
Gujarat,Banaskanth,Deesa,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,27/10/2025,6000.0,7260.0,6750.0
Gujarat,Banaskanth,Deesa,Castor Seed,Other,FAQ,27/10/2025,6475.0,6555.0,6525.0
Gujarat,Banaskanth,Deesa,Wheat,Other,FAQ,27/10/2025,2455.0,2500.0,2475.0
Gujarat,Bharuch,Ankleshwar,Bhindi(Ladies Finger),Bhindi,FAQ,27/10/2025,1000.0,2200.0,1500.0
Gujarat,Bharuch,Ankleshwar,Cabbage,Cabbage,FAQ,27/10/2025,1000.0,2000.0,1500.0
Gujarat,Bharuch,Jambusar,Bajra(Pearl Millet/Cumbu),Other,FAQ,27/10/2025,2400.0,2800.0,2600.0
Gujarat,Bharuch,Jambusar(Kaavi),Castor Seed,Other,FAQ,27/10/2025,5300.0,5700.0,5500.0
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,FAQ,27/10/2025,2800.0,3600.0,3400.0
Gujarat,Bhavnagar,Bhavnagar,Cotton,Other,FAQ,27/10/2025,6000.0,7500.0,6750.0
Gujarat,Bhavnagar,Bhavnagar,Wheat,Local,FAQ,27/10/2025,2650.0,2905.0,2775.0
Gujarat,Bhavnagar,Taleja,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,27/10/2025,7500.0,9455.0,8480.0
Gujarat,Bhavnagar,Taleja,Wheat,Kalyan,FAQ,27/10/2025,2460.0,2805.0,2635.0
Gujarat,Devbhumi Dwarka,Jam Khambalia,Wheat,Other,Non-FAQ,27/10/2025,2250.0,2535.0,2500.0
Gujarat,Gandhinagar,Dehgam,Castor Seed,Other,FAQ,27/10/2025,6325.0,6400.0,6362.0
Gujarat,Gir Somnath,Talalagir,Bhindi(Ladies Finger),Other,FAQ,27/10/2025,3000.0,5000.0,4000.0
Gujarat,Gir Somnath,Talalagir,Tomato,Other,FAQ,27/10/2025,1000.0,2500.0,2000.0
Gujarat,Jamnagar,Jam Jodhpur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,27/10/2025,6500.0,8500.0,7250.0
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,27/10/2025,5650.0,9650.0,7950.0
Gujarat,Jamnagar,Jamnagar,Cummin Seed(Jeera),Other,FAQ,27/10/2025,15000.0,17675.0,16525.0
Gujarat,Jamnagar,Jamnagar,Garlic,Other,FAQ,27/10/2025,2750.0,4625.0,4050.0
Gujarat,Jamnagar,Jamnagar,Jowar(Sorghum),Other,FAQ,27/10/2025,3500.0,3900.0,3825.0
Gujarat,Jamnagar,Jamnagar,Soyabean,Local,FAQ,27/10/2025,3500.0,4175.0,3975.0
Gujarat,Jamnagar,Kalawad,Soyabean,Black,FAQ,27/10/2025,3875.0,4115.0,3910.0
Gujarat,Kachchh,Rapar,Green Gram (Moong)(Whole),Hybrid,FAQ,27/10/2025,0.0,7755.0,7755.0
Gujarat,Kachchh,Rapar,"Sesamum(Sesame,Gingelly,Til)",Sesame,FAQ,27/10/2025,0.0,12555.0,12555.0
Gujarat,Kheda,Kapadvanj,Bhindi(Ladies Finger),Other,FAQ,27/10/2025,2000.0,2500.0,2250.0
Gujarat,Kheda,Kapadvanj,Bottle gourd,Other,FAQ,27/10/2025,1000.0,1500.0,1250.0
Gujarat,Kheda,Kapadvanj,Potato,Other,FAQ,27/10/2025,1400.0,1900.0,1650.0
Gujarat,Kheda,Kapadvanj,Tomato,Other,FAQ,27/10/2025,1000.0,1200.0,1100.0
Gujarat,Kheda,Nadiyad(Piplag),Brinjal,Brinjal,FAQ,27/10/2025,1500.0,1800.0,1600.0
Gujarat,Kheda,Nadiyad(Piplag),Coriander(Leaves),Coriander,FAQ,27/10/2025,1500.0,2000.0,1750.0
Gujarat,Kheda,Nadiyad(Piplag),Tinda,Tinda,FAQ,27/10/2025,1500.0,1800.0,1650.0
Gujarat,Morbi,Halvad,Castor Seed,Other,FAQ,27/10/2025,6300.0,6380.0,6325.0
Gujarat,Morbi,Morbi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,27/10/2025,4570.0,5240.0,4905.0
Gujarat,Morbi,Morbi,Bottle gourd,Bottle Gourd,FAQ,27/10/2025,700.0,1000.0,850.0
Gujarat,Morbi,Morbi,Cucumbar(Kheera),Cucumbar,FAQ,27/10/2025,1000.0,2200.0,1600.0
Gujarat,Morbi,Morbi,Green Chilli,Green Chilly,FAQ,27/10/2025,3000.0,5000.0,4000.0
Gujarat,Morbi,Morbi,Green Gram (Moong)(Whole),Local,FAQ,27/10/2025,6235.0,7035.0,6635.0
Gujarat,Navsari,Navsari,Bottle gourd,Bottle Gourd,FAQ,27/10/2025,2000.0,2500.0,2250.0
Gujarat,Navsari,Navsari,Cabbage,Cabbage,FAQ,27/10/2025,1000.0,1500.0,1250.0
Gujarat,Navsari,Navsari,Cluster beans,Cluster Beans,FAQ,27/10/2025,4000.0,5000.0,4500.0
Gujarat,Navsari,Navsari,Methi(Leaves),Methi,FAQ,27/10/2025,5000.0,5500.0,5250.0
Gujarat,Navsari,Navsari,Tomato,Other,FAQ,27/10/2025,500.0,1500.0,1000.0
Gujarat,Rajkot,Dhoraji,Cotton,H.B (Unginned),Non-FAQ,27/10/2025,6855.0,9330.0,7255.0
Gujarat,Rajkot,Gondal(Veg.market Gondal),Brinjal,Brinjal,FAQ,27/10/2025,300.0,3000.0,1650.0
Gujarat,Rajkot,Gondal(Veg.market Gondal),Cucumbar(Kheera),Cucumbar,FAQ,27/10/2025,1000.0,3000.0,2000.0
Gujarat,Rajkot,Gondal(Veg.market Gondal),Papaya,Other,Medium,27/10/2025,300.0,1200.0,750.0
Gujarat,Rajkot,Jasdan,Jowar(Sorghum),Jowar ( White),FAQ,27/10/2025,2000.0,2000.0,2000.0
Gujarat,Rajkot,Rajkot,Black Gram (Urd Beans)(Whole),Desi,FAQ,27/10/2025,5650.0,7175.0,6700.0
Gujarat,Rajkot,Rajkot,Corriander seed,Coriander Seed,FAQ,27/10/2025,6000.0,7020.0,6680.0
Gujarat,Rajkot,Rajkot,Mustard,Mustard,FAQ,27/10/2025,5250.0,6350.0,6250.0
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Potato,Desi,FAQ,27/10/2025,1055.0,2040.0,1545.0
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Tomato,Tomato,FAQ,27/10/2025,1055.0,1840.0,1445.0
Gujarat,Sabarkantha,Modasa,Soyabean,Yellow,Non-FAQ,27/10/2025,3800.0,4155.0,4155.0
Gujarat,Sabarkantha,Modasa(Tintoi),Wheat,Lokwan,FAQ,27/10/2025,2400.0,2450.0,2450.0
Gujarat,Surat,Surat,Beetroot,Other,FAQ,27/10/2025,1000.0,2000.0,1500.0
Gujarat,Surat,Surat,Bhindi(Ladies Finger),Other,FAQ,27/10/2025,1500.0,4000.0,2750.0
Gujarat,Surat,Surat,Bitter gourd,Other,FAQ,27/10/2025,1500.0,3500.0,2500.0
Gujarat,Surat,Surat,Brinjal,Other,FAQ,27/10/2025,1000.0,2500.0,1750.0
Gujarat,Surat,Surat,Carrot,Other,FAQ,27/10/2025,1000.0,2000.0,1500.0
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,27/10/2025,800.0,2000.0,1400.0
Gujarat,Surat,Surat,French Beans (Frasbean),Other,FAQ,27/10/2025,1500.0,3000.0,2250.0
Gujarat,Surat,Surat,Ginger(Green),Other,FAQ,27/10/2025,4000.0,6500.0,5250.0
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,27/10/2025,1500.0,3500.0,2500.0
Gujarat,Surat,Surat,Surat Beans (Papadi),Other,FAQ,27/10/2025,4000.0,8000.0,6000.0
Gujarat,Surat,Surat,Turmeric (raw),Other,FAQ,27/10/2025,3500.0,7000.0,5250.0
Gujarat,Surat,Surat,Yam (Ratalu),Other,FAQ,27/10/2025,5500.0,8500.0,7000.0
Gujarat,Surendranagar,Dasada Patadi,"Sesamum(Sesame,Gingelly,Til)",White,Non-FAQ,27/10/2025,6500.0,8605.0,8500.0
Gujarat,Surendranagar,Dhragradhra,Cotton,RCH-2,FAQ,27/10/2025,6760.0,7310.0,7050.0
Gujarat,Surendranagar,Sayala,Cotton,Shanker 6 (B) 30mm FIne,FAQ,27/10/2025,7121.0,7620.0,7500.0
Gujarat,Vadodara(Baroda),Padra,Brinjal,Other,FAQ,27/10/2025,1200.0,3000.0,2100.0
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,27/10/2025,1150.0,1500.0,1350.0
Gujarat,Vadodara(Baroda),Padra,Cluster beans,Other,FAQ,27/10/2025,3500.0,4000.0,3750.0
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),Other,FAQ,27/10/2025,3500.0,4500.0,4000.0
Gujarat,Vadodara(Baroda),Padra,Cowpea(Veg),Other,FAQ,27/10/2025,5000.0,6000.0,5500.0
Gujarat,Vadodara(Baroda),Padra,Cucumbar(Kheera),Other,FAQ,27/10/2025,1000.0,3000.0,2000.0
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,27/10/2025,2500.0,3000.0,2750.0
Gujarat,Vadodara(Baroda),Padra,Sponge gourd,Other,FAQ,27/10/2025,1000.0,1500.0,1250.0
Gujarat,Valsad,Valsad,Banana,Other,Medium,27/10/2025,900.0,1000.0,950.0
Haryana,Ambala,Ambala Cantt.,Cabbage,Cabbage,FAQ,27/10/2025,1200.0,1500.0,1400.0
Haryana,Ambala,Mullana,Paddy(Dhan)(Common),Paddy fine,Non-FAQ,27/10/2025,2389.0,2389.0,2389.0
Haryana,Ambala,Naraingarh,Bhindi(Ladies Finger),Bhindi,FAQ,27/10/2025,2200.0,3000.0,2800.0
Haryana,Ambala,Naraingarh,Cauliflower,Cauliflower,FAQ,27/10/2025,2000.0,4000.0,2800.0
Haryana,Ambala,Naraingarh,Coriander(Leaves),Coriander,FAQ,27/10/2025,1300.0,4000.0,2000.0
Haryana,Ambala,Naraingarh,Cucumbar(Kheera),Cucumbar,FAQ,27/10/2025,1200.0,3000.0,1800.0
