State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,27/10/2025,1000,1900,1500
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,27/10/2025,3000,3500,3500
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Hybrid,FAQ,27/10/2025,2500,3600,3000
"Andhra Pradesh",Chittor,Madanapalli,Tomato,Local,FAQ,27/10/2025,2800,3400,3200
"Andhra Pradesh",Chittor,Mulakalacheruvu,Tomato,Local,FAQ,27/10/2025,1100,2900,2100
"Andhra Pradesh",Chittor,Palamaner,Tomato,Hybrid,FAQ,27/10/2025,3000,3500,3300
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Bulb,FAQ,27/10/2025,10900,11800,11661
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies",Guntur,FAQ,27/10/2025,10000,16200,15000
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies","Red New",FAQ,27/10/2025,10000,15100,14900
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies","1st Sort",FAQ,27/10/2025,9500,14800,13500
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies",Red,FAQ,27/10/2025,10000,15000,14000
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,27/10/2025,2200,2400,2300
"Andhra Pradesh",Kurnool,Adoni,"Castor Seed","Castor seed",FAQ,27/10/2025,5188,5923,5900
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 1",FAQ,27/10/2025,4360,5930,5145
Bihar,Kishanganj,Bahadurganj,Onion,Medium,FAQ,27/10/2025,1500,1600,1550
Chattisgarh,Balod,Dondilohara,Paddy(Dhan)(Common),I.R.-64,Non-FAQ,27/10/2025,1740,1760,1750
Chattisgarh,Korba,Katghora,Paddy(Dhan)(Common),HMT,FAQ,27/10/2025,2320,2320,2320
Chattisgarh,Korba,Katghora,Paddy(Dhan)(Common),MTU-1010,Non-FAQ,27/10/2025,1900,1900,1900
Chattisgarh,Korba,Katghora,Wheat,Medium,FAQ,27/10/2025,3000,3300,3238
